[0.1-4.5] 假題為AI如何輔助人設領域學生學習與探索
[4.5-6.0] 有請王教授
[6.0-14.8] 王教授 張老師 還有各位老師同仁大家好
[14.8-19.8] 今天真的很榮幸有機會在這地方分享一點點我們的一些工作
[19.8-23.8] 那事實上這個部分也是我們才剛開始
[23.8-24.8] 然後
[24.8-29.9] 感覺他不太喜歡我
[32.9-34.9] 我們這工作等一下主要介紹就是
[34.9-37.9] 希望能夠適合人設領域的AI助教
[37.9-41.9] 然後他合作者就是我們歷史所
[41.9-44.9] 也是我們的社院院長 卓映老師
[44.9-48.9] 還有兩位學生 一個是楊以文 在這邊
[48.9-51.9] 他是我們社院外語系的同學
[51.9-55.9] 另外張又毅 他今天臨時有事沒辦法過來
[55.9-57.9] 他是我們電子學院的同學
[57.9-58.9] 學院學士班的同學
[58.9-60.9] 兩位都是大學部的學生
[60.9-64.9] 然後希望等一下大家可以看到他們所做的東西
[64.9-65.9] 不過在那之前呢
[65.9-67.9] 我可能要先有一些背景
[67.9-68.9] 我想我們大家都同意
[68.9-71.9] 在人設領域遇到AI的發展的時候
[71.9-74.9] 有一些很特別的一個情況
[74.9-78.9] 但是當然應該說每個領域都受到AI的衝擊
[78.9-80.9] 但是在人設領域的一個衝擊是
[80.9-82.9] 可能是類似像這樣的情況
[82.9-85.9] 學生就把這個文章丟到AI裡面
[85.9-86.9] 然後以前呢
[86.9-87.9] 可能老師想說
[87.9-88.9] 希望學生能夠告訴我
[88.9-90.9] 你覺得這文章重點在什麼地方
[90.9-91.9] 然後做一些整理
[91.9-93.9] 或者跨文章的比較
[93.9-95.9] 然後他就直接把它丟進去
[95.9-97.9] 然後這個AI就可以做一些摘要
[97.9-99.9] 甚至現在不可以
[99.9-102.9] 現在改成Gemini notebook
[102.9-105.9] 還可以產生投影片
[105.9-106.9] 還可以產生影片
[106.9-108.9] 然後還有什麼新製圖什麼的
[108.9-109.9] 你不能說
[109.9-112.9] 當然講的可能不見得那麼深入
[112.9-114.9] 有點膚淺 你可以這樣講
[114.9-117.9] 但是也搞不好比很多學生的程度還好
[117.9-121.9] 所以說當一個學生這樣用的時候
[121.9-125.9] 這個我覺得當然過程不是很好
[125.9-126.9] 但是對於學生來講
[126.9-129.9] 說不定他這樣真的學到了某種東西
[129.9-132.9] 然後但是這似乎總不是我們的目的
[132.9-135.9] 因為我們的需求可能並不是在一個
[135.9-136.9] 達到一個結果
[136.9-138.9] 我們更重要是中間的過程
[138.9-142.9] 但是往往這個AI跟我們的想像是不一樣的
[142.9-144.9] 因為AI是中間相當於一個黑箱
[144.9-146.9] 它直接從你的input
[146.9-148.9] 然後直接給你一個結果
[148.9-149.9] 而且常常又很快
[149.9-152.9] 所以中間的過程人的參與就非常少
[152.9-154.9] 那如果人的參與的過程
[154.9-155.9] 沒辦法被記錄
[155.9-157.9] 沒辦法被看見
[157.9-159.9] 沒辦法去回溯的話
[159.9-161.9] 對於人身領域會有很大的損失
[161.9-162.9] 對於理工領域當然也是
[162.9-165.9] 不過相較起來比較沒那麼重要
[165.9-166.9] 因為我們通常覺得
[166.9-167.9] 你只要拿到正確答案
[167.9-169.9] 不管你什麼方法不遮手段都可以
[169.9-172.9] 可是對人身領域顯然不是這樣想的
[172.9-174.9] 所以說在這樣問題之下
[174.9-175.9] 我們就會有一個問題說
[175.9-177.9] 難道人身領域只能被動的捱打嗎
[177.9-179.9] 或是被動的像啞巴吃黃蓮
[179.9-181.9] 這個事情就只能任憑它發展
[181.9-185.9] 然後我們做的都沒有辦法做些什麼嗎
[185.9-186.9] 應該不是這樣
[186.9-188.9] 那我個人覺得也許有時候會被我們自己
[188.9-190.9] 對AI的想像限制
[190.9-192.9] 實際上AI不是一個東西
[192.9-194.9] 它是一組一些東西
[194.9-196.9] 然後其中一個想法就是
[196.9-198.9] 可能是說我們老師先自立自強對不對
[198.9-200.9] 我們自己先弄清楚AI在做什麼
[200.9-202.9] 就如同我們傳統上
[202.9-203.9] 老師應該自己先會
[203.9-204.9] 可能教學生
[204.9-206.9] 我們大部分都是這樣
[206.9-207.9] 我是一代物理學系
[207.9-209.9] 我當然是物理有寫過一些論文
[209.9-210.9] 讀過一些東西
[210.9-211.9] 才有資格教學生
[211.9-212.9] 歷史也是一樣
[212.9-214.9] 但是現在如果碰到AI的時候
[214.9-215.9] 我們是不是也應該是
[215.9-217.9] 老師自己先知道AI是什麼
[217.9-218.9] 然後會操作AI工具
[218.9-220.9] 然後再來教學生
[220.9-222.9] 邏輯上聽起來是這樣沒錯
[222.9-223.9] 但是實際上我們知道
[223.9-224.9] 這個非常困難
[224.9-225.9] 有幾個原因
[225.9-227.9] 就是AI本身就是非常跨領域的
[227.9-230.9] 而且是融入到各個領域的細節
[230.9-233.9] 而且它發展非常快
[233.9-234.9] 我們要跟著它
[234.9-235.9] 實際上是非常難的
[235.9-237.9] 然後而且這個會影響到
[237.9-238.9] 我們評鑑的標準
[238.9-239.9] 上課的時間
[239.9-240.9] 而且最重要的原因是
[240.9-243.9] 對於班老師動機很缺乏
[243.9-244.9] 特別是大學教授
[244.9-245.9] 我們就是拿學位
[245.9-246.9] 拿教職的時候
[246.9-248.9] 都是因為過去的研究
[248.9-249.9] 就在這個領域的研究
[249.9-251.9] 那就跟AI沒有關係
[251.9-253.9] 而且我們本來就有自己的自主性
[253.9-254.9] 我們可以不要管AI
[254.9-256.9] 但是更重要的一個原因是說
[256.9-257.9] 如果我們真的要學AI的話
[257.9-259.9] 我們也學不過我們的年輕學生
[259.9-260.9] 如果他願意的話
[260.9-262.9] 他一定會學得比我們快很多
[262.9-263.9] 那這樣的話
[263.9-265.9] 我們怎麼可能學好再教他呢
[265.9-266.9] 所以說這本身
[266.9-268.9] 我覺得是一個結構上的矛盾
[268.9-271.9] 但並不是說我們老師就不要做什麼
[271.9-272.9] 而是說真正要做的
[272.9-274.9] 我個人覺得不是老師這個程式
[274.9-276.9] 反而是主管這個程式
[276.9-278.9] 今天我們就是很多主管
[278.9-279.9] 不只是系主任
[279.9-281.9] 可能是學校教務處
[281.9-282.9] 或是校長
[282.9-284.9] 甚至教育部長那種程式
[284.9-285.9] 比如說它不能只是讓老師
[285.9-287.9] 個人的來面對AI的狀況
[287.9-288.9] 我覺得那是不合理的
[288.9-290.9] 也不可能會成功的
[290.9-292.9] 而是要從一個組織
[292.9-294.9] 就是制度系的面對來這個問題
[294.9-296.9] 那怎麼做呢
[296.9-298.9] 就是我們等一下會講的一些東西
[298.9-300.9] 所以我個人看法
[300.9-303.9] 就是應該要建立一些輔助工具
[303.9-305.9] 然後我簡稱叫做AI助教
[305.9-308.9] 那背後的主要原因有幾個
