[5.0-9.0] 各位市長會賓 活動即將開始 請盡速入座 謝謝
[9.0-59.8] 市長會賓 活動即將開始 請盡速入座 謝謝
[59.8-74.9] 市長嘉賓 本次會議將接下來進行的是第六場工作坊
[74.9-78.9] 有請張哲文張老師 謝謝
[78.9-81.9] 好 各位老師大家好
[81.9-85.9] 那 剛剛醫藥師保有休息了一陣子
[85.9-89.9] 對 那我們下午 也是我個人的最後一場
[89.9-91.9] 好 努力的把這場看完這樣子
[91.9-95.9] 那 我想說在下午場開始之前
[95.9-99.9] 我想說先把那個上午有一個小部分沒有結束的地方
[99.9-105.9] 然後也是一個 應該也是我們這次活動最後操作的部分
[105.9-107.9] 把它帶完 把它帶完
[107.9-109.9] 那大家一樣 一步一步跟著操作
[109.9-112.9] 那有任何的問題都可以舉手發問
[112.9-114.9] 然後我們助理會去幫忙
[114.9-117.9] 那就是我們最後的agent skill的部分
[117.9-119.9] 那 請大家幫我看一下
[119.9-121.9] 在這個畫面裡面
[121.9-123.9] 請先幫我開啟codex
[123.9-126.9] 或者是說CureGPT的這個桌面板
[126.9-127.9] 幫我開啟
[127.9-129.9] 開啟來之後呢
[129.9-131.9] 你進入這個畫面裡面
[131.9-133.9] 左邊這裡有一個外掛程式
[133.9-135.9] 點進去之後
[135.9-139.9] 你可以看到其實CureGPT已經整合了
[139.9-141.9] 區域多多不同的外掛程式
[141.9-142.9] 你可以自己去搜尋
[142.9-144.9] 比如說 像是跟一些
[144.9-146.9] 跟一些不同的
[146.9-147.9] 比如說PDF的啊
[147.9-149.9] 或者是其他東西去進行連線
[149.9-151.9] 可以自己去搜尋
[151.9-152.9] 對
[152.9-154.9] 那 如果你有興趣可以去找
[154.9-156.9] 看看有沒有可能自己有外掛程式
[156.9-157.9] 那 關鍵其實在這裡
[157.9-158.9] 有一個叫skill的東西
[158.9-159.9] 你點它
[159.9-160.9] 有吧
[160.9-162.9] 你點這個skill之後
[162.9-164.9] 然後這邊按一個新增skill
[164.9-165.9] 按下去
[165.9-168.9] 然後你的電腦畫面應該會呈現出
[168.9-169.9] 這樣子的一個
[169.9-171.9] 這樣子的一個東西
[171.9-173.9] 它就是讓你
[173.9-175.9] 可以把自己的想法
[175.9-177.9] 那我是建議你自己先寫好
[177.9-179.9] 然後再把它貼上去
[179.9-181.9] 然後再把它跑過
[181.9-182.9] 你的工作的流程
[182.9-183.9] 你就可以用這種方式呢
[183.9-185.9] 去把它進行整合起來
[185.9-186.9] 進行整合起來
[186.9-189.9] 那為了要方便大家能夠去測試
[189.9-192.9] 因為我幫大家先寫好了一個skill
[192.9-194.9] 因為它有一個skill可以用
[194.9-196.9] 那請你先幫我做一件事情
[196.9-197.9] 如果你到這邊來的話
[197.9-199.9] 你先幫我把它刪掉沒關係
[199.9-200.9] 幫我把它刪掉
[200.9-202.9] 刪掉之後你按一個斜線
[202.9-205.9] 你按一個斜線然後打skill
[205.9-208.9] 你按一個斜線打SKILL之後呢
[208.9-210.9] 它下面會自動跑出一些東西來
[210.9-211.9] 那最重要的是
[211.9-212.9] 因為我們已經寫好
[212.9-214.9] 你要把它安裝到你的電腦裡面去
[214.9-217.9] 幫我按找一個叫skill installer
[217.9-219.9] 這個地方按下去之後
[219.9-220.9] 按下去之後呢
[220.9-224.9] 它會出現一個這樣子的符號
[224.9-225.9] 它會出現一個一個的符號
[225.9-227.9] 就是你要安裝一個skill
[227.9-228.9] 這個時候呢
[228.9-230.9] 請麻煩跑到我們
[230.9-232.9] 之前先讓大家下載的
[232.9-234.9] 有一個資料夾裡面
[234.9-237.9] 叫一個是PAAA的這個資料夾
[237.9-239.9] PAAA的原因是因為是那個
[239.9-240.9] 是德國的那個
[240.9-242.9] 德國外交部政治
[242.9-245.9] 外交部政治檔案館的名字的簡寫
[245.9-246.9] 的簡寫
[246.9-247.9] 這個就是我專門來處理
[247.9-249.9] 德國外交部檔案的一個skill
[249.9-250.9] 然後你幫我呢
[250.9-252.9] 上面按右鍵
[252.9-253.9] 按右鍵
[253.9-254.9] 按右鍵之後呢
[254.9-255.9] 它這邊呢
[255.9-257.9] 你可以複製路徑
[257.9-258.9] 有一個地方
[258.9-259.9] 你可以選擇複製路徑
[259.9-260.9] 就把它複製起來
[260.9-261.9] 就告訴電腦說
[261.9-262.9] 你等一下要堵的
[262.9-264.9] 要安裝的skill在哪裡
[264.9-265.9] 在哪裡
[265.9-266.9] 安裝好之後
[266.9-267.9] 按好之後呢
[267.9-269.9] 這個複製路徑好了之後呢
[269.9-270.9] 回到這個地方來
[270.9-272.9] 然後直接把它貼到這裡
[272.9-273.9] 直接貼上去
[273.9-274.9] 直接貼上去
[274.9-275.9] 所以你看喔
[275.9-276.9] skill installer
[276.9-277.9] 然後呢
[277.9-278.9] 把這個
[278.9-280.9] 這樣子的路徑貼上去
[280.9-281.9] 然後呢
[281.9-282.9] 幫我按enter
[282.9-283.9] 幫我按enter之後
[283.9-285.9] 它就開始跑
[285.9-286.9] 它就會開始跑
[286.9-287.9] 它會開始跑
[287.9-288.9] 然後裡面就會跟你講說
[288.9-289.9] 有什麼樣的東西啊
[289.9-291.9] 然後一直不斷的寫
[291.9-292.9] 然後這樣會比較
[292.9-293.9] 應該不會很久
[293.9-294.9] 大概一分鐘
[294.9-295.9] 一到兩分鐘的時間
[295.9-296.9] 應該可以完成
[296.9-297.9] 所以請麻煩老師們
[297.9-298.9] 先到這一步
[298.9-299.9] 好不好
[299.9-300.9] 先到這一步
[300.9-319.7] 這個安裝的過程中
[319.7-320.7] 它會告訴你的skill
[320.7-321.7] 有什麼樣的問題
[321.7-322.7] 你可以自己試
[322.7-323.7] 然後再進行更新
[323.7-324.7] 對
[324.7-325.7] 那這是一個測試
[325.7-326.7] 讓大家知道
[326.7-328.7] 它這東西大概會是什麼用
[396.3-413.4] 如果它有跑完的話呢
[413.4-414.4] 應該有跑完吧
[414.4-415.4] 應該不會很久吧
[415.4-416.4] 好
[416.4-417.4] 如果有跑完的話
[417.4-424.7] 你會發現
[424.7-425.7] 這個是
[425.7-430.2] 這是更新的部分
[430.2-431.2] 我們就不用
[431.2-432.2] 講更新的部分
[432.2-433.2] 好
[433.2-434.2] 如果有跑完的話
[434.2-435.2] 可以幫我做一件事情
[435.2-436.2] 你到你的CDR裡面呢
[436.2-437.2] 我們裡面不是有一個
[437.2-438.2] 叫做
[438.2-439.2] RE208-86377-FOMOSA
[439.2-440.2] 的這個資料夾嗎
[440.2-441.2] 這個資料夾
[441.2-442.2] 基本上是德國的
[442.2-443.2] 這個資料夾
[443.2-444.2] 基本上是德國的
[444.2-445.2] 這個資料夾
[445.2-446.2] 基本上是德國的
[446.2-447.2] 一個資料的一個檔案
[447.2-448.2] 基本上是德國的
[448.2-449.2] 一個資料的一個檔案
[449.2-450.2] 裡面是寫臺灣相關的檔案
[450.2-451.2] 大概在你前
[451.2-452.2] 對
[452.2-453.2] 幫我一樣做一件事情
[453.2-454.2] 按右鍵之後呢
[454.2-455.2] 找尋一下複製路徑
[455.2-456.2] 然後從系統根目錄
[456.2-457.2] 然後從系統根目錄
[457.2-458.2] 複製它
[458.2-459.2] 把它複製起來
[459.2-460.2] 把它複製起來
[460.2-464.2] 好
[464.2-465.2] 複製起來之後呢
[465.2-466.2] 我們回到Codex
[466.2-467.2] 我們回到Codex
[467.2-468.2] Codex一樣
[468.2-469.2] 你按一個斜線
[469.2-470.2] 你按一個斜線
[470.2-471.2] 按下去之後
[471.2-472.2] 你會找到
[472.2-473.2] 有一個新的skill
[473.2-474.2] 叫PAAA的
[474.2-475.2] 叫PAAA的
[475.2-476.2] 那個這個
[476.2-477.2] 這樣子的一個skill
[477.2-478.2] 你按下去之後呢
[478.2-479.2] 你可以去找
[479.2-480.2] 你可以先打PAAA
